职位编号,职位名称,公司全称,公司简称,公司规模,所属领域,融资阶段,公司标签,职位类型,第二职位类型,技能标签,职位标签,发布时间,城市,区域,薪资,薪酬月数,工作经验,学历要求,职位福利,简历处理速度,职位描述,平均月薪
5951556,产品经理,爱客科技（深圳）有限公司,AfterShip,150-500人,电商,不需要融资,"['持续盈利', '国际龙头企业', 'SaaS平台', '极客氛围']",产品|需求|项目类,产品经理,"['需求分析', '产品设计']","['工具软件', '需求分析', '产品设计']",2020-10-04 16:50:23,深圳,南山区,15k-25k,14,3-5年,本科,"超牛团队,跨国团队,福利好,产品靓",100,"有关 AfterShip


2012 年成立于香港，公司自 2014 年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 700 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。


我们希望找一位有能力有想法，擅长从用户角度考虑问题的产品经理加入我们核心团队，为各大电商卖家及买家提供最好的体验。


岗位职责


1、根据产品业务需求，定义公司国际 2B SaaS 产品的交互流程逻辑，打磨功能交互细节，持续提升用户体验，提升用户转化率；
2、参与用户生命周期的管理，通过分析产品数据，了解用户痛点，分析用户行为，从中提炼需求，并输出产品 PRD 及交互方案；
3、跟进 UI 设计，把控产品体验细节，协调并推动开发人员工作，确保达到上线标准。


岗位要求


1、统招本科及以上学历，英语读写熟练；
2、两年及以上互联网产品经理工作经验，有 B2B 或 SaaS 相关工作经验；
3、熟悉交互设计的各种方法及工具，关注细节，对用户体验有**的追求；
4、良好的学习能力、理解能力和沟通能力，责任心强，积极好学。


加分项


1、喜欢用国际化产品，有写博客或在产品经理社群活跃并有积极贡献者；
2、熟悉敏捷开发 （Agile SCRUM) ，有技术背景；
3、熟悉使用 Sketch 或相关工具。


为什么加入我们


1、极客氛围: 拥抱开源技术，实践敏捷开发；
2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；
3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；
4、多元文化: 团队来自全球十几个国家；
5、头部企业: 海外驰名企业，细分领域领跑者；
6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",20.0
7545658,产品经理,天津量子时代网络科技有限公司,话本小说,15-50人,"移动互联网,文娱丨内容",A轮,"['扁平管理', '创业企业', '弹性工作', '平等文化']",产品|需求|项目类,产品经理,"['用户增长', '数据分析', '项目管理', '产品设计']","['移动互联网', '用户增长', '数据分析', '项目管理', '产品设计']",2020-10-04 16:06:06,北京,朝阳区,15k-20k,13,1-3年,本科,最大的00后图文对话小说社区,80,"【超强福利】 
1、公司附近租房，每月1500元租房补贴 
2、入职满一年后，每月提供司龄报销补贴，金额为司龄*1000元 
3、一周工作六天，周末算加班发双薪 
4、免费咖啡零食、全额上六险一金、不打卡、自行团建公司发补贴 

【岗位职责】
1、负责话本小说App的产品规划、需求挖掘、产品设计；
2、根据用户需求优化和管理现有产品、保证产品的快速更新迭代，在用户体验、产品结构逻辑、功能等多方面对产品进行把关；
3、协调各方资源，组织和推动产品的设计和开发上线流程；
4、关注&amp;分析竞品情况；关注&amp;研究行业模式，输出有价值的产品/功能规划；主动搜集&amp;整理&amp;分析用户反馈。

【职位要求】
1、一年以上互联网产品工作经验，具有文娱产品经验者优先；
2、本科及以上学历，具备很强的逻辑思维能力，规划能力；
3、出色的沟通、逻辑思维和资源协调能力，自我驱动导向。",17.5
7582034,产品经理,上海唯链信息科技有限公司,VeChain,50-150人,"移动互联网,信息安全",B轮,"['弹性工作', '五险一金', '老司机驾校', '年底N薪']",产品|需求|项目类,产品经理,"['产品设计', '结构设计', '需求分析', '数据分析']","['企业服务', '产品设计', '结构设计', '需求分析', '数据分析']",2020-10-04 16:07:26,上海,黄浦区,25k-35k,0,5-10年,本科,五险一金，工作餐，员工活动,83,"职责描述：  
1、结合区块链技术，研究数字化和SaaS行业市场发展，保持对行业的高度敏感，设计供应链领域的全球化创新模式；  
2、负责收集、调研、分析用户、市场、业务需求及痛点，优化产品功能，以提升用户体验，提高平台活跃；  
3、负责完成产品原型、流程和交互界面设计，编写完整的市场分析文档（MRD）、产品需求文档（PRD），协助开发团队理解和掌握需求。完成从产品设计、交付开发、正式上线到上线后产品推广运营的产品全过程。   

任职要求：  
1、5年以上工作经验，3年以上产品设计经验，负责过已上线的SaaS、BaaS或供应链管理类产品；  
2、具备优秀的业务敏感度、产品锐度和破局能力，能综合多业态的不同场景，抽象总结SAAS产品核心价值，进行整体规划和高效落地执行；  
3、熟练使用Axure等线框图设计软件，熟悉互联网产品设计和交互，能很好的表达产品设计与技术要求;  
4、具有较强的需求分析、产品规划，整体解决方案能力，能敏锐的挖掘产品功能与业务需求；  
5、拥有供应链平台产品设计经验者优先；
6、必须拥有流利的英语听说读写能力；
7、具有强烈的责任心和上进心，具备良好的团队合作精神，积极主动，能承受较大的工作压力。",30.0
6855628,高级产品经理,爱客科技（深圳）有限公司,AfterShip,150-500人,电商,不需要融资,"['持续盈利', '国际龙头企业', 'SaaS平台', '极客氛围']",产品|需求|项目类,产品经理,"['B端产品', 'SaaS']","['企业服务', '工具软件', 'B端产品', 'SaaS']",2020-10-04 16:50:24,深圳,南山区,25k-50k,14,5-10年,本科,全球项目、高薪资、高福利、国际团队,100,"有关 AfterShip


2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 700 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。


我们希望找一位有能力有想法，擅长从用户角度考虑问题的产品经理加入我们核心团队，为各大电商卖家及买家提供最好的体验。


岗位职责


1、根据产品业务需求，定义公司国际 2B SaaS 产品的交互流程逻辑，打磨功能交互细节，持续提升用户体验，提升用户转化率；
2、参与用户生命周期的管理，通过分析产品数据，了解用户痛点，分析用户行为，从中提炼需求，并输出产品 PRD 及交互方案；
3、跟进 UI 设计，把控产品体验细节，协调并推动开发人员工作，确保达到上线标准。


岗位要求


1、统招本科及以上学历，英语听说读写熟练；
2、五年及以上互联网产品经理工作经验，有 B2B 或 SaaS 相关工作经验，有海外项目实操经验；
3、熟悉交互设计的各种方法及工具，关注细节，对用户体验有**的追求；
4、熟悉敏捷开发（Agile SCRUM)，有团队管理经验者优先考虑。


加分项


1、喜欢用国际化产品，有写博客或在产品经理社群活跃并有积极贡献者；
2、有技术背景；
3、熟悉使用 Sketch 或相关工具。


为什么加入我们


1、极客氛围: 拥抱开源技术，实践敏捷开发；
2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；
3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；
4、多元文化: 团队来自全球十几个国家；
5、头部企业: 海外驰名企业，细分领域领跑者；
6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",37.5
6367424,产品经理,海深智能科技（上海）有限公司,海深科技,15-50人,"移动互联网,电商",A轮,"['年底双薪', '绩效奖金', '定期体检', '年度旅游']",产品|需求|项目类,产品经理,"['产品设计', '商业产品', '智能硬件', '产品策划']","['新零售', '移动互联网', '产品设计', '商业产品', '智能硬件', '产品策划']",2020-10-04 15:42:14,上海,浦东新区,12k-24k,0,1-3年,本科,年终多薪 项目奖金 期权鼓励 团队优秀,80,"岗位职责：
1.负责公司人工智能平台的前期规划、需求分析和产品设计。2.  数据管理系统设计，包括数据标注和数据服务3.  算法服务系统设计，2B业务模块设计任职资格：1.   本科以上学历，理工科背景优先。2.   1年以上SaaS产品经验，有数据平台类产品经验者优先。3.   熟悉产品设计实现流程，包括从需求分析到产品开发管理。4.   具有良好的逻辑思维与系统分析能力，注重细节。5.   具有良好的团队协作意识，较强的沟通能力，责任心强，抗压性强

公司介绍：
我们是一个做图像识别的人工智能公司，聚焦于新零售行业，主打产品基于计算机视觉的智能售货柜已经有众多的客户并占据市场主导。我们在深度学习领域有世界前沿性的研究成果，为京东，小红书，搜狗，百联集团等**企业提供技术服务。创始合伙人来自硅谷，核心技术团队来自国内外知名学府：清华，上海交大，佐治亚理工，宾夕法尼亚大学，并曾在Google, Yahoo!,  百度等互联网公司担任核心技术岗位。",18.0
7219559,产品经理,西岗区玉龙物资商行,玉龙商行,500-2000人,企业服务、金融,未融资,[],产品|需求|项目类,产品经理,[],"['银行', '支付']",2020-10-04 14:57:02,大连,中山区,7k-14k,0,3-5年,本科,双休～8.30--5下班～薪资5k以上,7,"岗位职责：
1.负责移动支付管理平台产品策划，针对B端（银行、渠道、商户）进行市场调研并进行分析，制定产品发展计划；
2.通过对平台功能的优化，支付流程的调整改进，不断提高业务流量，转化率，促进业务的发展；以及与新技术新模式的的深度融合；
3.关注行业动态及监管风向，跟进市场及时调整产品策略及保证产品服务合规；
4.跟踪并收集B/C端以及内部使用产品的反馈，转化为有效需求，并跟踪上线；提升对银行、渠道、商户的服务能力；每周保障上线2家银行；
5.组织建立并逐步完善业务数据分析系统，确定数据报表样式，建立日/周/月报制度，整理并定期向相关部门提供产品运营数据；对产品数据进行监控，分析产品运营效果、用户使用行为及需求，以便对产品进行持续性优化和改进；
6.建立产品文档库；编写产品对外、对内相关文档；并为公司相关部门、用户进行产品培训、产品演示；
配合上级领导交代的其他事情；
任职要求：
1、3年以上产品经验，具有移动支付、POS收单经验优先；
2、熟悉axure等设计工具及常用办公软件的使用，具备独立撰写产品需求文档的能力；
3、负责部门间的协调沟通，协助上级进行产品规划
4、清晰缜密的逻辑思维能力，较强的沟通能力和产品设计能力，独立完成支付产品规划及执行者优先；
5、优秀的团队合作能力，善于合作协调沟通，具有优秀的书面和口头表达能力；
6、强烈的责任心和上进心，充满活力，积极主动，能承受工作压力，有产品主人翁意识；",10.5
7773917,产品经理,成都拦服众合科技有限公司,拦服,15-50人,医疗丨健康、房产家居,未融资,[],产品|需求|项目类,产品经理,[],"['医疗健康', '房产服务']",2020-10-04 16:53:31,北京,朝阳区,35k-45k,0,3-5年,本科,创业合伙人、合伙人、产品总监、,0,"网约医疗护理服务app
1、负责医生端或后台管理产品流程设计文档、产品原型
2、根据网约医疗护理到家（新白领全球化高品质生活的一站式护理服务），组织总部层面的需求评估，包括：流程设计、远程会诊系统。
 
要求：
1、 相关产品有基本的了解。
2、 熟练使用Axure、viso等工具，能产出思路清晰的原型、PRD文案及业务流程；",40.0
7315514,后台产品经理,北京拉勾网络技术有限公司,拉勾网,500-2000人,企业服务,D轮及以上,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",产品|需求|项目类,产品经理,['后台产品'],"['企业服务', '招聘', '后台产品']",2020-09-30 16:42:19,北京,海淀区,20k-30k,0,3-5年,本科,拥有无限可能,74,"职位描述：
1、负责公司所有业务的后台产品设计，包含需求分析、产品规划、功能设计并推动落地；
2、抽象通用功能，为业务产品提供一站式的商业化支持；
3、确定业务对接流程和节奏，推动业务方接入中台通用能力；
4、关注行业领先的中台解决方案，并能应用于实践。

任职要求：
1、本科及以上学历，3年及以上中后台产品经验；
2、良好的结构化思维和抽象思维，可基于复杂的业务场景进行产品抽象和设计；
3、强烈的责任心和出色的沟通、协调能力，可以推动多方资源完成目标；
4、有passport、权限和组织架构、License体系、运营平台、消息中心、系统集成工作经验的优先。",25.0
7589426,产品经理,南京轩恩软件开发有限公司,轩恩软件,50-150人,"教育,数据服务",未融资,[],产品|需求|项目类,产品经理,"['需求分析', '竞品分析', '交互设计', '项目管理']","['需求分析', '竞品分析', '交互设计', '项目管理']",2020-10-04 14:15:52,南京,秦淮区,11k-17k,13,3-5年,本科,氛围、高薪、上升空间大,31,"职位描述
1、 把控所负责产品的方向目标，拟定优先级明确的版本规划，包括用户调研、需求分析、竞品分析、功能设计等；
2、 分析同行业竞品，找到差异化的产品发展策略，推动产品版本的快速迭代，持续更新和优化，给出明确的产品优化建议；
3、 负责产品的原创内容输出，构思各种有想象力和创造力的想法和创意，策划出不断吸引用户、增强用户粘性和兴趣的创意和产品设计思路；
4、 负责带领产品团队成员完成产品规划及实施工作，参与产品团队日常管理和团队建设工作；
 5、 负责协调研发和测试，确保产品的执行进度与质量，并对结果负责；
6、 承担部门销售业绩考核指标，接受公司和部门业绩考核；
7、 负责新产品规划及产品相关的售前支持工作。
任职资格：
1、 熟悉行业知识，了解市场需求; 对具体行业的业务模式、未来趋势有深入理解与独特思考，具备良好的业务敏感度和视野，能够敏锐的捕获产品机会和数据价值；
2、 想象力丰富，有创意、有激情，具有良好的逻辑思维能力、沟通表达能力、团队协作能力、学习能力与抗压能力，对新生事物有较高的敏感度和好奇心；
3、 认真负责,沟通能力强,执行力强；
4、 具有3年以上产品工作经验，2年以上产品经理工作经验，至少有3-5个成功案例;
周一至周五上班（上午9:00-12:00 下午13：00-18：00）；
按国家规定节假日放假，员工可享带薪婚假、产假、陪产假、年假、病假等；
五险一金正常缴纳；
薪资待遇优，根据工作表现，有机会享13-17薪。",14.0
7446976,产品经理,深圳市法本信息技术股份有限公司,法本信息,2000人以上,"企业服务,软件开发",上市公司,[],产品|需求|项目类,产品经理,"['B端产品', 'C端产品', '企业软件']","['工具软件', '金融', 'B端产品', 'C端产品', '企业软件']",2020-10-04 13:26:57,深圳,福田区,12k-17k,0,3-5年,本科,加班补贴 项目主流 下午茶团建,1,"1、3年以上产品工作经验，2年以上互联网产品经验，有完整的产品策划、产品迭代线上经历
2、熟练掌握通用产品工具，如Axure，viso，xmind等软件
3、有较强的沟通表达能力，对车板块产品感兴趣者优先
4、工作责任心强，能承受一定的工作压力",14.5
5302104,产品经理,上海弘连网络科技有限公司,弘连网络,50-150人,数据服务,未融资,"['技能培训', '绩效奖金', '定期体检', '五险一金']",产品|需求|项目类,产品经理,"['产品设计', '需求分析', '用户研究', '产品策划']","['信息安全', '产品设计', '需求分析', '用户研究', '产品策划']",2020-10-04 16:53:41,上海,闵行区,8k-16k,0,1-3年,本科,五险一金 年底多薪 弹性工作制,22,"负责公司产品的市场调研、数据分析、用户行为分析及对用户的反馈意见进行收集和筛选，跟踪竞争对手的产品动态；
负责公司既有产品的优化，及新产品策划，完成新产品/功能的概念设计和原型展示；
负责跟进需求执行，协调研发、设计、测试等部门充分理解需求，推进产品按时上线；
负责产品工作项目优先级及进度，把控产品质量并提高流程效率；


职位要求：

对互联网安全行业感兴趣，对发展规律和未来趋势有一定认识；
熟悉产品整体实现过程，对新概念、新产品有高度的敏感性；
基于产品角度，对各平台架构，以及同一平台不同版本的技术特性、技术局限性有一定的认识；
善于倾听用户声音，对数据敏感，善于数据统计分析、逻辑清晰，能有效地确立产品策略、市场定位和产品核心价值；
优秀的原型设计能力、文档撰写能力、口头表达能力；
对Web端、PC端产品UI、UE有一定的经验认识；
了解电子取证和互联网安全行业者优先。


对于工程师来说，我们可以提供一个纯粹简单的技术氛围和产品环境。目前团队有完整的技术协作流程和短平快的沟通方式。我们崇尚工程师文化，谦虚、尊重和相互信任。

公司情况
弹性工时，不管你是早睡早起还是夜猫子，都能在这里精力充沛工作；
平均破壳在93年，自由有趣的氛围，拒绝办公室政治；
每月零食饮料管够，每周运动健身；
快速成长期，有充分的成长空间和锻炼机会。有技术大拿，有软萌妹子，想和他们一起工作么?",12.0
7143470,产品经理-企业信息化,北京百家互联科技有限公司,跟谁学,2000人以上,"移动互联网,教育",上市公司,"['节日礼物', '技能培训', '股票期权', '精英团队']",产品|需求|项目类,产品经理,"['产品设计', '企业软件', 'B端产品']","['产品设计', '企业软件', 'B端产品']",2020-09-27 18:33:28,北京,海淀区,24k-40k,0,3-5年,本科,飞速成长，股票期权，双休，早晚班车,28,"【岗位职责】
1、合理有效的判断用户需求，对产品的场景需求及痛点进行分析，优化产品形态，通过数据分析和用户研究，优化产品设计；
2、负责编写产品需求书、协助开发团队理解和掌握需求，对产品需求方向和易用性负责；
3、基于产品设计理念，结合用户需求和产品技术架构，完成产品功能的概念设计、原型设计及PRD文档、数据库设计等详细设计；
4、熟悉项目管理流程，跟踪产品开发进度，产品上线等相关工作；
5、负责产品验收，跟踪上线产品的使用效果、用户反馈，收集和主动挖掘改进需求，根据业务需要持续改进产品，提升用户产品满意度；
7、能够承受较强的工作压力，责任心强，具有团队合作精神和良好的职业道德精神。
【任职要求】
1、计算机及信息工程相关专业本科及以上学历；
2、3年以上企业信息化管理产品工作经验，经历过完整的产品生命周期者优先；
3、深入了解产品的设计和运营流程，善于进行创新；
4、具备良好的文档撰写能力，熟练使用相关文档制作工具，包括产品原型、PRD文档、业务流程图、页面逻辑关系等；
5、卓越的逻辑思维与分析能力，能够很好的规划和设计产品功能、使用流程与交互体验；
6、有很强的沟通、协调，推进能力，有很好的抗压能力。能够有效地组织和推进跨职能，跨团队的合作项目；
7、有企业管理APP产品经验者优先。",32.0
6789205,产品经理,HBtech Trade Limited,火币网,2000人以上,金融,不需要融资,"['红杉资本', '实现跨境支付', '优秀指导人', '自由货币']",产品|需求|项目类,产品经理,[],['金融'],2020-10-04 10:50:46,深圳,南山区,15k-25k,0,3-5年,本科,五险一金 商业保险 餐补 加班补贴,9,"岗位职责：
1. 熟悉产品从业务调研、需求分析到实现过程、产品发布的整个流程；
2. 负责新产品的创新和预研，完成新产品的用户需求定义、产品功能/UI/交互的设计；
3. 负责制定项目开发计划并跟踪进度，确保项目如期完成；
4.撰写详细的产品需求文档及原型设计文档，跟踪产品研发进度；
5.负责需求管理、业务分析；
岗位要求：
1.本科及以上学历，3年以上产品经理类工作经验；
2.对金融及相关衍生品有一定的了解；
3.至少负责过1个以上互联网金融相关的产品；
4.熟练使用Axrue，MS Office、Visio等软件；
5.较强的逻辑思维、换位思考能力能准确把握需求，规划产品；
6.具有较强的书面表达能力和口头沟通能力，能够与需求方、开发人员顺畅交流，并独立完成各种文档的编写；
7.良好的学习能力、团队合作精神、分析判断能力、沟通协调能力；
8.有传统金融相关经验的优先考虑；",20.0
7733564,产品经理,上海欣兆阳信息科技有限公司,Convert lab,50-150人,企业服务,B轮,"['股票期权', '巨大市场空间', '行业经验丰富', '定期体检']",产品|需求|项目类,产品经理,"['产品策划', '需求分析', '竞品分析', '产品设计']","['产品策划', '需求分析', '竞品分析', '产品设计']",2020-10-04 11:31:57,上海,徐汇区,15k-30k,14,3-5年,本科,佛系，提供午餐晚餐，无996，无007，无大小周,2,"岗位职责： 
1、需求调研、竞品分析、产品规划、产品功能和用户体验设计，独立完成复杂项目的业务需求分析、框架设计及切分 ； 
2、撰写高质量需求文档，组织高效的需求评审，与运营、研发、测试等部门协同配合，制定版本节奏，确保关键节点的产品上线；
3、分析产品运营和使用数据，持续迭代和优化产品用户体验；

岗位要求：
1、3年以上产品相关工作经验，深刻理解产品设计方法，有企业服务软件产品经验尤佳；
2、熟悉广告、数字营销行业，了解MarTech内涵和趋势，对营销和数字世界好奇，信仰数据价值，并对此敏感和有思考；
3、良好的思维逻辑能力，沟通协调能力，团队合作意识，充满探索欲；",22.5
7053112,高级产品经理,上海好店啊网络科技有限公司,好店啊,15-50人,"消费生活,教育",天使轮,"['技能培训', '带薪年假', '岗位晋升', '扁平管理']",产品|需求|项目类,产品经理,"['产品设计', '社交/SNS', '移动产品/APP']","['移动互联网', '产品设计', '社交/SNS', '移动产品/APP']",2020-10-04 11:00:42,上海,徐汇区,15k-30k,0,3-5年,本科,有挑战的职位，接触最新移动互联网商业机会,52,"工作内容：


负责工具类／内容类／社交类APP产品的0-1构建过程，包括商业切入点，商业模式设计、用户肖像侧写、产品路线图
负责产品的开发和方案原型落地
负责产品的市场工作，指导产品运营


职位要求：

3年以上工具类，或内容类，或社交类APP的移动端产品经验，有成功运营案例者不受此限制；
应聘者需要有技术背景，或对交互有较好的概念；
熟练使用相关工具撰写需求分析相关文档；
善于在团队中学习新的知识和技能，具有良好的团队合作精神，能承受较大的工作压力；",22.5
7367106,高级产品经理,深圳芥舟科技有限公司,芥舟科技,50-150人,电商,A轮,"['定期体检', '股票期权', '绩效奖金', '专项奖金']",产品|需求|项目类,产品经理,[],['电商'],2020-10-04 11:22:44,深圳,南山区,25k-40k,0,5-10年,本科,朝阳行业 发展潜力大 跨境电商,100,"岗位职责：
1、负责跨境贸易、数字清关平台相关产品的需求收集、分析及产品规划方面的工作；
2、根据需求收集、数据分析、市场调研等活动的结果编写产品规划方案，负责相关产品的需求及原型制作；
3、对产品的设计、开发和测试过程进行跟进；
4、协助销售、运营、市场部门的销售、运营、市场工作；
5、进行市场分析和产品技术分析，对市场、产品、客户等进行细分和数据挖掘，通过数据分析，发掘产品潜在的市场机会；
6、进行客户拜访，指导用户提高系统应用水平、对用户和公司其他部门人员的产品培训工作。

任职要求：
1、全日制本科及以上学历，5年以上互联网产品工作经验，有跨境电商、国际物流产品工作经验优先；
2、思路清晰，具有较强的逻辑分析能力，能快速理解业务，对数据敏感尤佳；
3、熟悉产品管理的相关流程，推动产品进度；
4、关注用户体验，善于场景化思考问题；
5、沟通、协调、组织能力好，有较强责任心与团队精神；
6、熟悉物流领域的业务知识，熟悉供应链、电商B2B、B2C平台相关产品优先。",32.5
7526192,产品经理,深圳芥舟科技有限公司,芥舟科技,50-150人,电商,A轮,"['定期体检', '股票期权', '绩效奖金', '专项奖金']",产品|需求|项目类,产品经理,"['需求分析', '产品策划']","['电商', '需求分析', '产品策划']",2020-10-04 11:22:58,深圳,南山区,25k-35k,0,5-10年,本科,朝阳行业 发展潜力大 跨境电商,100,"1、负责跨境贸易、数字清关平台相关产品的需求收集、分析及产品规划方面的工作；
2、根据需求收集、数据分析、市场调研等活动的结果编写产品规划方案，负责相关产品的需求及原型制作；
3、对产品的设计、开发和测试过程进行跟进；
4、协助销售、运营、市场部门的销售、运营、市场工作；
5、进行市场分析和产品技术分析，对市场、产品、客户等进行细分和数据挖掘，通过数据分析，发掘产品潜在的市场机会；
6、进行客户拜访，指导用户提高系统应用水平、对用户和公司其他部门人员的产品培训工作。


任职要求：
1、全日制本科及以上学历，5年以上互联网产品工作经验，有跨境电商、国际物流产品工作经验优先；
2、思路清晰，具有较强的逻辑分析能力，能快速理解业务，对数据敏感尤佳；
3、熟悉产品管理的相关流程，推动产品进度；
4、关注用户体验，善于场景化思考问题；
5、沟通、协调、组织能力好，有较强责任心与团队精神；
6、熟悉物流领域的业务知识，熟悉供应链、电商B2B、B2C平台相关产品优先。",30.0
7173563,高级产品经理,育乐软件（成都）有限公司,Dr. Panda 熊猫博士,50-150人,"移动互联网,游戏",不需要融资,"['年底双薪', '带薪年假', '午餐补助', '定期体检']",产品|需求|项目类,产品经理,"['用户研究', '在线教育产品', 'APP产品']","['教育', '用户研究', '在线教育产品', 'APP产品']",2020-10-04 10:18:20,上海,普陀区,10k-20k,0,5-10年,本科,儿童教育，线上教育，用户增长,6,"岗位描述

负责无线产品规划、需求管理、竞品分析，设计产品增长机制，实现增长策略的搭建和制定
通过实验和分析，提升拉新激活，活跃留存和沉默复活效果，优化产品漏斗
推动运营工具的改善和应用，提升运营效率对用户Abtest有大量的实践经历，精通各类活动、宣传、短信、push等营销手段
从数据出发，发现新的产品增长点或改进点，并提出切实可行的产品方案；
与各团队合作，快速推动产品上线，并根据效果不断迭代优化任职要求：
全日制大学本科及以上学历。具备5年以上用户增长产品经验，掌握常见的用户增长方法，大型互联网用户产品工作经验。独立负责教育类产品设计经验优先。
具备强烈的好奇心和分析能力。
具备较强的数据分析能力，熟悉互联网数据分析方法，善于运用数据驱动产品优化。
具备以下个人素质：强烈的责任心、强大的抗压能力、积极的沟通协调能力，较强的项目推动能力。",15.0
7740519,高级产品经理,深圳道道网络科技有限公司,道道,50-150人,数据服务,C轮,"['平等的氛围', '年底双薪', '带薪年假', '定期体检']",产品|需求|项目类,产品经理,"['用户研究', '产品策划', '需求分析', '项目管理']","['教育', '用户研究', '产品策划', '需求分析', '项目管理']",2020-10-04 09:55:15,深圳,南山区,20k-40k,14,5-10年,本科,丰厚报酬 牛人团队 ***项目,100,"职位描述：
1、负责教育类产品核心功能规划、版本策划与管理，有序推进版本迭代落地；
2、负责新产品从0到1的产品定位、产品架构设计、原型功能设计、用户流程体验的落地和迭代优化；
3、监控产品数据，并根据运营数据进行分析、统计，持续打磨优化产品
4、根据业务和功能逻辑，提出数据需求，跟进数据算法研究过程并验证结果；
5、牵头组织联动设计、开发、算法、数据等各部门人员与资源，达成产品目标；

岗位要求：
1、本科及以上学历，5年以上互联网产品策划经验，计算机/理工科类专业优先，有成熟的产品观和方法论；
2、对用户体验和界面有深入充分的理解，能够广泛深度的体验主流产品；3、具备优秀的逻辑思维和抽象能力，化繁就简的策划产品；
4、对数据高度敏感，善于分析、思考和归纳，良好的数据商业化嗅觉；
5、熟练掌握AxureRP、Visio等原型设计工具，对细节有长期、及时的追求；
6、有优秀的自我驱动和抗压能力，有游戏、工具或教育类产品工作经验优先。",30.0
6801963,产品经理,北京柠檬堂科技有限公司,LemonBox,15-50人,"移动互联网,医疗丨健康",A轮,"['股票期权', '交通补助', '带薪年假', '定期体检']",产品|需求|项目类,产品经理,['需求分析'],"['电商', '医疗健康', '需求分析']",2020-10-04 10:15:03,北京,朝阳区,8k-15k,13,1年以下,本科,未来独角兽 超级VC加持 团队氛围好,0,"What you will do:
- 以c端用户视角，负责产品线的业务规划及功能逻辑设计。
- 可以高效的对产品实施过程管理和跨部门合作、沟通及收集反馈，并确保准时、高质量上线。
- 定期对竞品进行深入分析，研究社交及食品行业的新电商、新零售模式。
- 线上业务运营数据分析与转化。

Who you are:
- 对健康行业或者保健品行业感兴趣，对新产品的开发提出建议与支持，同时需对LemonBox小程序有一定了解和见解。
- 前后端产品框架设计能力熟练者优先考虑。
- 掌握电商用户运营手段与数据分析能力。

Why LemonBox
具有竞争优势的薪资+股权 - 你值得拥有！
灵活的工作安排和带薪年假。
与一群年轻有活力，正能量满满的团队一起共事。
北京/上海办公室的绝佳视野和位置优势。
各种有趣的团建活动和“周三游戏夜”。

在 Lemonbox，基于中国消费者的饮食结构和健康目标，我们定制出个性化的每日维生素补充包。我们的愿景是「通过提供科学的解决方案，为国人提供高性价比、方便、优质的健康消费类产品和服务」。LemonBox 于 2018 年在美国加州创立，目前在北京和上海等设有分公司。

我们是一家快速发展的创业公司。迄今为止，我们已经获得 Y Combinator、Panda Capital、Partech Ventures 和 Bessemer Venture Partners 等中国+硅谷投资机构 500+ 万美元。在 LemonBox，我们就致力打造公司文化吸引精英人才加入，目前我们的团队成员有来自知名企业，如阿里巴巴、百度、优步、沃尔玛，也有来自各大名校的毕业生，如芝加哥大学、纽约大学、哥伦比亚大学和北京大学等。",11.5
7621134,erp产品经理,深圳市有芯电子有限公司,有芯电子,150-500人,电商,不需要融资,"['五险一金', '绩效奖金', '带薪年假', '节日礼物']",产品|需求|项目类,产品经理,"['B端产品', 'ERP', 'B2B', '供应链']","['电商', 'B端产品', 'ERP', 'B2B', '供应链']",2020-10-04 09:57:01,深圳,福田区,10k-20k,0,1-3年,本科,弹性工作项目奖金绩效奖金,0,"岗位职责：
1、负责ERP设计与规划，或B端电商平台的设计与规划； 
2、组织需求评审会，编写《需求评审确认书》； 
3、负责产品上线前验收，确保业务需求在技术上的完整实施； 
4、负责收集、整合用户问题，推动系统迭代、升级。 

任职要求： 
1、国家重点本科及以上学历，计算机类相关专业； 
2、接受应届生或1-5年工作经验均可；
3、熟悉ERP或电商平台等流程设计； 
4、逻辑清晰，富有条理，性格外向、主动性强、沟通表达强。",15.0
